wordID,userID,condition,block,score
bericht,R_RKX6uClkalzSL5L,NC,6,1
moeder,R_RKX6uClkalzSL5L,NC,4,1
moeder,R_RKX6uClkalzSL5L,NC,5,1
moeder,R_RKX6uClkalzSL5L,NC,6,1
verwachting,R_RKX6uClkalzSL5L,NC,4,0
verwachting,R_RKX6uClkalzSL5L,NC,5,1
verwachting,R_RKX6uClkalzSL5L,NC,6,1
manier,R_RKX6uClkalzSL5L,NC,4,0
manier,R_RKX6uClkalzSL5L,NC,5,1
manier,R_RKX6uClkalzSL5L,NC,6,0
gras,R_RKX6uClkalzSL5L,NC,4,1
gras,R_RKX6uClkalzSL5L,NC,5,1
gras,R_RKX6uClkalzSL5L,NC,6,1
inhoud,R_1lnRAeOriX9gA5E,C,1,0
inhoud,R_1lnRAeOriX9gA5E,C,2,0
inhoud,R_1lnRAeOriX9gA5E,C,3,1
donderdag,R_1lnRAeOriX9gA5E,C,1,0
donderdag,R_1lnRAeOriX9gA5E,C,2,0
donderdag,R_1lnRAeOriX9gA5E,C,3,1
dinsdag,R_1lnRAeOriX9gA5E,C,1,0
dinsdag,R_1lnRAeOriX9gA5E,C,2,1
dinsdag,R_1lnRAeOriX9gA5E,C,3,0
schoonheidssalon,R_1lnRAeOriX9gA5E,C,1,1
schoonheidssalon,R_1lnRAeOriX9gA5E,C,2,0
schoonheidssalon,R_1lnRAeOriX9gA5E,C,3,0
badkamer,R_1lnRAeOriX9gA5E,C,1,0
badkamer,R_1lnRAeOriX9gA5E,C,2,0
badkamer,R_1lnRAeOriX9gA5E,C,3,0
rest,R_1lnRAeOriX9gA5E,NC,1,0
rest,R_1lnRAeOriX9gA5E,NC,2,0
rest,R_1lnRAeOriX9gA5E,NC,3,1
klimaat,R_1lnRAeOriX9gA5E,NC,1,0
klimaat,R_1lnRAeOriX9gA5E,NC,2,0
klimaat,R_1lnRAeOriX9gA5E,NC,3,0
vuur,R_1lnRAeOriX9gA5E,NC,1,1
vuur,R_1lnRAeOriX9gA5E,NC,2,0
vuur,R_1lnRAeOriX9gA5E,NC,3,0
gebed,R_1lnRAeOriX9gA5E,NC,1,0
gebed,R_1lnRAeOriX9gA5E,NC,2,0
gebed,R_1lnRAeOriX9gA5E,NC,3,0
energie,R_1lnRAeOriX9gA5E,NC,1,0
energie,R_1lnRAeOriX9gA5E,NC,2,1
energie,R_1lnRAeOriX9gA5E,NC,3,0
omstandigheden,R_1lnRAeOriX9gA5E,C,1,1
omstandigheden,R_1lnRAeOriX9gA5E,C,2,0
omstandigheden,R_1lnRAeOriX9gA5E,C,3,0
liefde,R_1lnRAeOriX9gA5E,C,1,0
liefde,R_1lnRAeOriX9gA5E,C,2,0
liefde,R_1lnRAeOriX9gA5E,C,3,1
baas,R_1lnRAeOriX9gA5E,C,1,0
baas,R_1lnRAeOriX9gA5E,C,2,0
baas,R_1lnRAeOriX9gA5E,C,3,0
burgemeester,R_1lnRAeOriX9gA5E,C,1,1
burgemeester,R_1lnRAeOriX9gA5E,C,2,0
burgemeester,R_1lnRAeOriX9gA5E,C,3,0
suiker,R_1lnRAeOriX9gA5E,C,1,0
suiker,R_1lnRAeOriX9gA5E,C,2,0
suiker,R_1lnRAeOriX9gA5E,C,3,0
afbeelding,R_1lnRAeOriX9gA5E,NC,1,1
afbeelding,R_1lnRAeOriX9gA5E,NC,2,0
afbeelding,R_1lnRAeOriX9gA5E,NC,3,1
water,R_1lnRAeOriX9gA5E,NC,1,1
water,R_1lnRAeOriX9gA5E,NC,2,0
water,R_1lnRAeOriX9gA5E,NC,3,1
trein,R_1lnRAeOriX9gA5E,NC,1,1
trein,R_1lnRAeOriX9gA5E,NC,2,0
trein,R_1lnRAeOriX9gA5E,NC,3,0
honing,R_1lnRAeOriX9gA5E,NC,1,0
honing,R_1lnRAeOriX9gA5E,NC,2,0
honing,R_1lnRAeOriX9gA5E,NC,3,0
kans,R_1lnRAeOriX9gA5E,NC,1,0
kans,R_1lnRAeOriX9gA5E,NC,2,0
kans,R_1lnRAeOriX9gA5E,NC,3,1
deur,R_1lnRAeOriX9gA5E,C,1,1
deur,R_1lnRAeOriX9gA5E,C,2,1
deur,R_1lnRAeOriX9gA5E,C,3,1
geluk,R_1lnRAeOriX9gA5E,C,1,0
geluk,R_1lnRAeOriX9gA5E,C,2,0
geluk,R_1lnRAeOriX9gA5E,C,3,0
katoen,R_1lnRAeOriX9gA5E,C,1,0
katoen,R_1lnRAeOriX9gA5E,C,2,0
katoen,R_1lnRAeOriX9gA5E,C,3,0
ogen,R_1lnRAeOriX9gA5E,C,1,0
ogen,R_1lnRAeOriX9gA5E,C,2,0
ogen,R_1lnRAeOriX9gA5E,C,3,0
minuut,R_1lnRAeOriX9gA5E,C,1,1
minuut,R_1lnRAeOriX9gA5E,C,2,1
minuut,R_1lnRAeOriX9gA5E,C,3,0
bericht,R_1lnRAeOriX9gA5E,NC,1,0
bericht,R_1lnRAeOriX9gA5E,NC,2,0
bericht,R_1lnRAeOriX9gA5E,NC,3,0
moeder,R_1lnRAeOriX9gA5E,NC,1,0
moeder,R_1lnRAeOriX9gA5E,NC,2,1
moeder,R_1lnRAeOriX9gA5E,NC,3,1
verwachting,R_1lnRAeOriX9gA5E,NC,1,0
verwachting,R_1lnRAeOriX9gA5E,NC,2,0
verwachting,R_1lnRAeOriX9gA5E,NC,3,1
manier,R_1lnRAeOriX9gA5E,NC,1,0
manier,R_1lnRAeOriX9gA5E,NC,2,0
manier,R_1lnRAeOriX9gA5E,NC,3,0
gras,R_1lnRAeOriX9gA5E,NC,1,0
gras,R_1lnRAeOriX9gA5E,NC,2,1
gras,R_1lnRAeOriX9gA5E,NC,3,1
inhoud,R_1lnRAeOriX9gA5E,C,4,0
inhoud,R_1lnRAeOriX9gA5E,C,5,1
inhoud,R_1lnRAeOriX9gA5E,C,6,1
donderdag,R_1lnRAeOriX9gA5E,C,4,1
donderdag,R_1lnRAeOriX9gA5E,C,5,0
donderdag,R_1lnRAeOriX9gA5E,C,6,0
dinsdag,R_1lnRAeOriX9gA5E,C,4,0
dinsdag,R_1lnRAeOriX9gA5E,C,5,1
dinsdag,R_1lnRAeOriX9gA5E,C,6,1
schoonheidssalon,R_1lnRAeOriX9gA5E,C,4,1
schoonheidssalon,R_1lnRAeOriX9gA5E,C,5,1
